id,city_id,iata_code,icao_code,lat,lon
1,1,ALV,,42.51124,1.53358
2,8,AUH,OMAA,24.43297,54.65114
3,8,AZI,OMAD,24.42833,54.45808
4,7,AAN,OMAL,24.26167,55.60917
5,3,DXB,OMDB,25.25278,55.36444
6,6,FJR,OMFJ,25.11222,56.32396
7,2,RKT,OMRK,25.61348,55.93882
8,4,SHJ,OMSJ,25.32858,55.51715
9,5,ZDY,OMDL,24.50308,52.33595
10,5,XSB,OMBY,24.28257,52.58267
11,3,NHD,OMDM,25.02674,55.36955
12,10,DHF,OMAM,24.24845,54.54849
13,9,DWC,OMDW,24.8978,55.15905
14,20,MMZ,OAMN,35.93034,64.76132
15,11,URN,OAOG,32.93222,69.15639
16,24,KHT,OAKS,33.33359,69.95192
17,29,GRG,OAGZ,33.62832,69.23766
18,28,GZI,OAGN,33.53194,68.41333
19,27,JAA,OAJL,34.39986,70.49865
20,14,TII,OATN,32.60412,65.86595
21,25,KDH,OAKN,31.50737,65.85035
22,26,KBL,OAKB,34.56585,69.21233
23,33,OAI,OAIX,34.94639,69.265
24,31,FAH,OAFR,32.36566,62.16608
25,22,BST,OABT,31.56005,64.36487
26,16,OAH,OASD,33.39133,62.26098
27,34,HEA,OAHR,34.2111,62.22851
28,23,UND,OAUZ,36.66518,68.9109
29,21,MZR,OAMS,36.70702,67.20957
30,30,FBD,OAFZ,37.12113,70.51791
31,12,ZAJ,OAZJ,31.1037,61.9365
32,37,BIN,OABN,34.8086,67.8182
33,35,CCN,OACC,34.526,65.27
34,17,LQN,OAQN,34.98493,63.11671
35,30,DAZ,OADZ,38.4611,70.8825
36,13,KWH,OAHN,37.8902,70.2039
37,38,SGA,OASN,37.56667,71.5
38,36,OAA,OASH,33.92249,69.07731
39,24,OLR,OASL,33.36347,69.95656
40,32,DWR,OADY,31.09142,64.06699
41,19,URZ,OARG,32.902,66.634
42,15,TQN,OATQ,36.77057,69.53009
43,11,OAS,OASA,33.1258,68.8386
44,22,OAZ,OAZI,31.86644,64.19239
45,39,SBF,OADS,33.32114,68.63682
46,18,KUR,OARZ,36.01714,70.76071
47,41,ANU,TAPA,17.13675,-61.79267
48,40,BBQ,TAPH,17.63609,-61.82633
49,42,AXA,TQPF,18.20483,-63.05508
50,43,KFZ,LAKU,42.03395,20.41509
51,45,TIA,LATI,41.4219,19.71296
52,44,VLO,LAVL,40.60608,19.42899
53,47,EVN,UDYZ,40.1525,44.40222
54,48,LWN,UDSG,40.75103,43.85983
55,46,YUK,UDCK,39.20226,46.45527
56,85,BUG,FNBG,-12.60903,13.40371
57,67,CAB,FNCA,-5.59699,12.18835
58,80,NOV,FNHU,-12.80888,15.76055
59,79,SVP,FNKU,-12.40463,16.94741
60,65,LAD,FNLU,-8.85838,13.23118
61,57,NZA,FNZG,-7.71661,21.35828
62,63,SSY,FNBC,-6.2699,14.247
63,82,CBT,FNCT,-12.4792,13.4869
64,51,DUE,FNDU,-7.40089,20.8185
65,64,MEG,FNMA,-9.52509,16.3124
66,75,SPP,FNME,-14.6576,17.7198
67,74,MSZ,FNMO,-15.2612,12.1468
68,61,GXG,FNNG,-7.75828,15.28954
69,72,PBN,FNPA,-10.722,13.7655
70,49,VHC,FNSA,-9.68907,20.4319
71,59,SZA,FNSO,-6.14109,12.3718
72,71,NDD,FNSU,-11.1679,13.8475
73,54,UAL,FNUA,-10.7158,22.2311
74,77,SDD,FNUB,-14.9247,13.575
75,76,LUO,FNUE,-11.7681,19.8977
76,58,UGO,FNUG,-7.60307,15.0278
77,70,XGN,FNXA,-16.7554,14.9653
78,73,VPE,FNGI,-17.0435,15.6838
79,68,AZZ,FNAM,-7.86222,13.1161
80,87,CFF,FNCF,-8.78361,17.9897
81,52,CTI,FNCV,-15.1603,19.1561
82,56,CAV,FNCZ,-11.8931,22.9164
83,60,ARZ,FNZE,-7.25882,12.86272
84,83,CNZ,,-13.7106,19.8611
85,84,DRC,,-17.98192,20.76806
86,55,JMB,FNJA,-14.69819,16.07015
87,88,KNP,FNCP,-9.76937,15.45532
88,62,NDF,,-9.27519,14.97724
89,86,ANL,,-11.47245,16.71132
90,50,LBZ,FNLK,-8.44155,20.73197
91,81,CEO,FNWK,-11.42644,15.10122
92,66,LZM,FNLZ,-9.11591,18.04891
93,78,LLT,FNLB,-12.3711,13.5367
94,51,PGI,FNCH,-7.35869,20.80498
95,53,GGC,FNBL,-14.10432,21.44274
96,49,CTV,,-9.43244,20.31179
97,69,NBJ,FNBJ,-9.05086,13.49906
100,91,SST,SAZL,-36.53333,-56.71667
101,98,NEC,SAZO,-38.4854,-58.81387
102,155,MJR,,-38.2279,-57.87199
103,102,MDQ,SAZM,-37.93417,-57.57333
104,112,CLX,SATC,-25.3,-57.73333
105,120,OYO,SAZH,-38.38876,-60.32928
106,138,ROS,SAAR,-32.90361,-60.785
107,144,RAF,SAFR,-31.28333,-61.5
108,125,OLN,SAVM,-45.58333,-69.0
109,117,QRF,,-35.15,-60.48333
110,111,COC,SAAC,-31.29694,-57.99663
111,104,GHU,SAAG,-33.01028,-58.61306
112,166,JNI,SAAJ,-34.54589,-60.93056
113,152,PRA,SAAP,-31.79478,-60.48036
114,128,SFN,SAAV,-31.71167,-60.81167
115,180,COR,SACO,-31.32362,-64.20795
116,103,LPG,SADL,-34.96674,-57.89211
117,107,EZE,SAEZ,-34.82222,-58.53583
118,156,MDZ,SAME,-32.83172,-68.79286
119,131,LGS,SAMM,-35.4936,-69.57427
120,131,AFA,SAMR,-34.58831,-68.40385
121,135,CTC,SANC,-28.59321,-65.75092
122,126,SDE,SANE,-27.76562,-64.31012
123,163,IRJ,SANL,-29.38164,-66.79584
124,132,TUC,SANT,-26.84086,-65.10494
125,134,UAQ,SANU,-31.57147,-68.41819
126,185,CRR,SANW,-29.87339,-61.92923
127,142,RCU,SAOC,-33.08513,-64.26131
128,115,VDR,SAOD,-31.94518,-65.14628
129,192,VME,SAOR,-33.72514,-65.37809
130,133,LUQ,SAOU,-33.27319,-66.35642
131,110,CNQ,SARC,-27.4455,-58.76186
132,92,RES,SARE,-27.44999,-59.05613
133,106,FMA,SARF,-26.21272,-58.22811
134,94,IGR,SARI,-25.73728,-54.47344
135,97,AOL,SARL,-29.68942,-57.15208
136,99,MCS,SARM,-30.27192,-57.64023
137,96,PSS,SARP,-27.38584,-55.97073
138,149,PRQ,SARS,-26.75652,-60.4931
139,137,SLA,SASA,-24.85598,-65.48617
140,129,JUJ,SASJ,-24.39278,-65.09778
141,130,ORA,SASO,-23.15278,-64.32917
142,122,TTG,SAST,-22.61917,-63.79319
143,161,LLS,SATK,-24.7,-60.58333
144,93,RCQ,SATR,-29.21028,-59.68
145,109,UZU,SATU,-29.77056,-57.97889
146,181,CRD,SAVC,-45.78535,-67.46551
147,173,EQS,SAVE,-42.90795,-71.13947
148,136,OES,SAVN,-40.752,-65.03288
149,143,REL,SAVT,-43.2105,-65.27032
150,116,VDM,SAVV,-40.86922,-63.00039
151,147,PMY,SAVY,-42.75917,-65.10278
152,148,PUD,SAWD,-47.73529,-65.9041
153,140,RGA,SAWE,-53.77767,-67.74939
154,141,RGL,SAWG,-51.60887,-69.31264
155,119,USH,SAWH,-54.84328,-68.29575
156,146,ULA,SAWJ,-49.30678,-67.80259
157,150,PMQ,SAWP,-46.53791,-70.97869
158,182,GGS,SAWR,-48.78333,-70.16667
159,145,RZA,SAWU,-50.01655,-68.5792
160,190,BHI,SAZB,-38.72868,-62.15301
161,172,GPO,SAZG,-35.69618,-63.75829
162,154,NQN,SAZN,-38.949,-68.15571
163,151,PEH,SAZP,-35.84459,-61.85755
164,127,RSA,SAZR,-36.58832,-64.27569
165,193,BRC,SAZS,-41.15117,-71.15754
166,90,TDL,SAZT,-37.23739,-59.22792
167,89,VLG,SAZV,-37.23541,-57.02924
168,113,AEP,SABE,-34.55918,-58.41561
169,108,EPA,SADP,-34.60994,-58.61259
170,177,EHL,SAVB,-41.94319,-71.53229
171,165,CPC,SAZY,-40.07528,-71.13722
172,176,FTE,SAWC,-50.2803,-72.0531
173,189,RDS,SAHS,-37.3906,-68.9042
174,114,APZ,SAHZ,-38.9755,-70.1136
175,105,OYA,SATG,-29.1058,-59.2189
176,162,LHS,SAVH,-46.5383,-68.9653
177,178,CUT,SAZW,-38.9397,-69.2646
178,186,CCT,,-37.9102,-67.835
179,164,LCM,SACC,-31.0058,-64.5319
180,159,CVH,SAHE,-37.8514,-71.0092
181,171,GNR,SAHR,-39.0007,-67.6205
182,121,RHD,SANR,-27.496,-64.935
183,100,RLO,SAOS,-32.38384,-65.18558
184,95,ELO,SATD,-26.3975,-54.5747
185,101,MDX,SATM,-29.2214,-58.0878
186,175,EMX,SAVD,-42.0292,-71.1725
187,169,IGB,SAVJ,-41.3209,-69.5749
188,157,MQD,SAVQ,-41.2431,-68.7078
189,191,ARR,SAVR,-45.0136,-70.8122
190,124,SGV,SAVS,-41.5917,-65.3394
191,139,ROY,SAWM,-45.7039,-70.2456
192,167,JSM,SAWS,-44.0486,-70.4589
193,194,RYO,SAWT,-51.60554,-72.21764
194,153,OVR,SAZF,-36.89,-60.2166
195,184,CNT,,-27.2164,-61.2103
196,188,CVI,,-46.37219,-67.58549
197,159,LCP,,-38.0819,-70.6439
198,158,LMD,,-40.8177,-68.0747
199,118,VCF,,-40.7,-66.15
200,170,VGS,,-35.0,-63.0
201,168,XPD,,-24.20341,-64.83512
202,160,XMX,,-23.8333,-64.75
203,179,CSZ,SAZC,-37.44962,-61.8886
204,174,ZAI,,-23.24971,-64.08634
205,187,CPG,,-40.77742,-62.97947
206,183,HOS,SAHC,-37.44499,-70.22289
207,123,NCJ,SAFS,-30.95688,-61.52747
208,195,TAV,,-14.22917,-169.51111
209,195,FTI,NSFQ,-14.21579,-169.42385
210,195,OFU,NSAS,-14.18434,-169.66987
211,196,PPG,NSTU,-14.331,-170.7105
212,197,VIE,LOWW,48.1221,16.55751
213,204,KLU,LOWK,46.645,14.32667
214,202,HOH,LOIH,47.38327,9.69882
215,203,GRZ,LOWG,46.99107,15.43963
216,201,INN,LOWI,47.26022,11.34396
217,200,LNZ,LOWL,48.23322,14.18751
218,199,SZG,LOWS,47.7933,13.00433
219,198,ANT,,47.13583,10.27845
220,267,LEA,YPLM,-22.23333,114.08333
221,264,ALH,YABA,-34.94583,117.80806
222,486,GBL,YGBI,-11.65093,133.38068
223,486,CKI,YCKI,-11.16346,132.4831
224,221,PER,YPPH,-31.94028,115.96694
225,208,MIH,YMIP,-14.79227,125.82444
226,252,DRW,YPDN,-12.41472,130.87667
227,424,CNS,YBCS,-16.88583,145.75528
228,449,SYD,YSSY,-33.94611,151.17722
229,529,WOL,YSHL,-34.56044,150.7889
230,346,MEL,YMML,-37.67333,144.84333
231,455,AYQ,YAYE,-25.1891,130.97754
232,263,ASP,YBAS,-23.80364,133.90038
233,429,BNE,YBBN,-27.38417,153.1175
234,377,OOL,YBCG,-28.16444,153.50472
235,420,CTL,YBCV,-26.41333,146.2625
236,354,LRE,YLRE,-23.43333,144.26667
237,231,ISA,YBMA,-20.66389,139.48861
238,352,MKY,YBMK,-21.17167,149.17972
239,326,OKY,YBOK,-27.41139,151.73528
240,320,PPP,YBPN,-20.495,148.55222
241,313,ROK,YBRK,-23.37651,150.47392
242,261,BME,YBRM,-17.94881,122.22719
243,290,TSV,YBTL,-19.2525,146.76528
244,278,WEI,YBWP,-12.67861,141.92528
245,225,GOV,YPGV,-12.27128,136.82017
246,211,TCA,YTNK,-19.63333,134.16667
247,358,AVV,YMAV,-38.03944,144.46944
248,532,ABX,YMAY,-36.06778,146.95806
249,452,MEB,YMEN,-37.72806,144.90194
250,458,HBA,YMHB,-42.83611,147.51028
251,386,LST,YMLT,-41.54528,147.21417
252,346,MBW,YMMB,-37.97583,145.10222
253,344,MQL,YMIA,-34.22917,142.08556
254,265,ADL,YPAD,-34.945,138.53056
255,257,CED,YCDU,-32.12489,133.70151
256,524,FOS,YFRT,-30.84358,128.11295
257,513,GET,YGEL,-28.79572,114.704
258,512,KGI,YPKG,-30.78646,121.45828
259,241,KNX,YPKU,-15.78042,128.71149
260,216,LGH,YLEC,-30.59833,138.42583
261,234,MKR,YMEK,-26.60848,118.54548
262,219,PHE,YPPD,-20.37778,118.62639
263,490,KTR,YPTN,-14.52111,132.37778
264,216,UMR,YPWR,-31.14855,136.81231
265,301,BWU,YSBK,-33.92444,150.98833
266,422,CBR,YSCB,-35.30694,149.195
267,414,CFS,YCFS,-30.32056,153.11639
268,415,CDU,YSCN,-34.04028,150.68722
